"censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag"
1977-11-12,11,12,1977,"control",9,54,"DM","M",37,46,"4893","0"
1977-11-12,11,12,1977,"control",9,57,"PF","F",16,7,"0","0"
1977-11-12,11,12,1977,"control",9,61,"DM","M",35,40,"4892","0"
1977-11-12,11,12,1977,"control",9,66,"PF","F",15,6,"0","0"
1977-11-12,11,12,1977,"control",9,75,"DS","F",48,120,"0","0"
1977-11-12,11,NA,1977,"removal",10,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,13,1977,"control",11,22,"DS","F",52,126,"4884","0"
1977-11-12,11,13,1977,"control",11,31,"DM","M",36,37,"4883","0"
1977-11-12,11,13,1977,"control",11,45,"DM","F",36,39,"4882","0"
1977-11-12,11,13,1977,"control",11,52,"PF","M",15,7,"0","0"
1977-11-12,11,13,1977,"control",11,54,"DS","F",53,122,"4845","0"
1977-11-12,11,14,1977,"control",12,17,"DM","M",37,40,"4833","0"
1977-11-12,11,14,1977,"control",12,21,"DS",NA,NA,NA,"0","0"
1977-11-12,11,14,1977,"control",12,33,"DM","F",36,38,"4858","0"
1977-11-12,11,12,1977,"control",13,14,"DM","M",36,44,"4891","0"
1977-11-12,11,12,1977,"control",13,43,"PF","F",16,7,"0","0"
1977-11-12,11,12,1977,"control",13,62,"DM","M",36,40,"4890","0"
1977-11-12,11,13,1977,"control",14,12,"DM","M",36,44,"4878","0"
1977-11-12,11,13,1977,"control",14,46,"DS","F",NA,113,"0","0"
1977-11-12,11,13,1977,"control",14,63,"DM","M",36,43,"4876","0"
1977-11-12,11,13,1977,"control",14,64,"DM","F",36,40,"4877","0"
1977-11-12,11,NA,1977,"exclosure",15,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,NA,1977,"removal",16,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,13,1977,"control",17,15,"DM","F",33,38,"4881","0"
1977-11-12,11,13,1977,"control",17,16,"DS","F",48,118,"4880","0"
1977-11-12,11,13,1977,"control",17,21,"DM","M",37,40,"4872","0"
